用户名,评论日期,评论内容
Hakuna,2021.9.13 23:09,"Haha, 我也来体验下"
leona12,2021.9.14 09:09,我也来一条
shijinhong,2021.9.15 07:09,嗯？
xie_you,2021.9.16 22:09,XX到此一游
amanda2021,2021.9.17 15:09,晕晕乎乎的
xguikms,2021.9.18 10:09,e
xueshan,2021.9.18 15:09,学习爬虫，到此一游~
fuzihao,2021.9.20 11:09,ok
sf921,2021.9.20 13:09,到此 一爬，楼下的加油！！！
xiaozhangjiayou,2021.9.20 15:09,打卡
159253,2021.9.22 09:09,热可可加油，哈哈哈哈哈哈哈，我爬我自己，真是厉害死我了
caoyalong0921,2021.9.22 19:09,这么多叫我怎么爬
djia1103,2021.9.22 20:09,继续爬爬爬
wjwjwj,2021.9.24 17:09,我终于看到了你啊~~~~
StarLee,2021.9.25 11:09,小白爬爬路过，哈哈哈
wumingshi19910519,2021.9.25 15:09,大家都上的同一堂课。。。
binbin,2021.9.28 00:09,希望能爬到我自己，爬虫巢！！爬爬爬！！！
qtlsz,2021.9.28 05:09,我是qtl，我是sz，我要爬我自己
Susie,2021.9.28 11:09,我看看能不能爬到自己的评论😂
Latte,2021.9.29 19:09,给我爬
chuenlik,2021.10.1 03:10,2021年到此一遊 一起學爬蟲～
vb123456,2021.10.1 15:10,到此一游
abc123,2021.10.3 22:10,killing eve 看着很爽，但是价值观我还是不能认同，演员是真的都很优秀！
zzp_zzp,2021.10.5 11:10,爷到此一游
Prettyemily,2021.10.5 18:10,爬虫学习者到此一游
fan123,2021.10.5 20:10,希望我能成功爬取
yibow,2021.10.6 20:10,留爪
ting88,2021.10.8 10:10,没看过这本书，只是爬虫学习。好像也不该评论。。
yiming,2021.10.9 16:10,热可可同学好优秀
Ann_wis,2021.10.11 15:10,大家好，我叫Parterman虫，中文名叫爬得慢。
binbin,2021.10.12 20:10,来了。
windtalker,2021.10.12 21:10,good
temp111,2021.10.15 17:10,这课程有没感觉有点不值的？大量的重复内容
axxxxl2,2021.10.18 22:10,2021/10/18 天下第一爬虫！到此一游(狗头)
ltz001,2021.10.19 09:10,这本书的热度不是因为这本书本身
abc123,2021.10.23 21:10,打扰了，爬爬爬到此一游
jtzhshu,2021.10.24 16:10,现在学到第八节了，来发评论，
whisperfengzi,2021.10.24 22:10,来啦！要在爬虫的道路越走越远，各位爬友一起加油~
PPPPP,2021.10.24 22:10,我来也
yangyk,2021.10.25 20:10,确认了眼神，都是来爬虫的人……
python2021,2021.10.26 20:10,爬虫+10086
sdqzliuxl,2021.10.26 21:10,我是第196条评论，爬到我说明你代码运行成功了！
abc123,2021.10.29 14:10,“qwe”
123sjz-_,2021.10.29 17:10,最新评论
zhang12590,2021.10.29 20:10,jjj
sheng,2021.10.30 17:10,爬虫留名！  Y8的同学，你们好！
pota_bean,2021.10.31 20:10,66666666，我来了
lead233,2021.11.2 09:11,来了来了
neil0704,2021.11.2 18:11,爬爬爬起来呀
wujiasanjie,2021.11.4 15:11,新爬虫签到！！！
py20211014,2021.11.4 17:11,这么多评论啊
yanjiangff,2021.11.5 09:11,哈哈哈哈哈还以为是真的可以读书的网站，原来是学爬虫的……
wdf123456,2021.11.5 15:11,我看看我这个小虫在这回复一下能不能看到自已
lailai2000,2021.11.9 16:11,爬虫来也！
Gqepdc123,2021.11.9 17:11,我刷我刷 我刷刷刷！！刷屏
bulinbulin,2021.11.10 22:11,我是bulinbulin
James,2021.11.10 23:11,珀丽湾的小伙伴双十一来学一发爬虫
ysq201616,2021.11.12 21:11,我
ganxin123,2021.11.14 00:11,forchange爬虫到此一游
1_-mm,2021.11.14 11:11,加油噻！
silveryangel,2021.11.14 13:11,蹲楼等爬
gui123456,2021.11.14 13:11,哈哈哈哈
z9955,2021.11.14 16:11,A reptile comes here.
1919501974,2021.11.14 21:11,爬虫来的
RC_127,2021.11.14 23:11,Y
guyevip,2021.11.15 14:11,真有人买书吗
zhaohua,2021.11.15 21:11,哇好热闹啊这里哈哈哈哈哈哈哈哈哈
Sirius,2021.11.16 16:11,到此一游
resvolt,2021.11.17 14:11,把自己写进教科书中
evaChu,2021.11.19 09:11,光是看评论 就非常想看看这本书啦
binbin,2021.11.19 11:11,哈哈，果然，大家都是来学爬虫的，不过这本书也确实不错啊，可惜一般人看不动
favor,2020.9.17 11:09,花了大概两周的时间读完了这本书。我始终坚持开卷有益。《乌合之众》，从初读时的惊心动魄，到合上书时的冷静。保持独立思考，不论何时何地，如此重要。这就算是这本书带给我的最大收获。
mapleghost,2021.6.11 14:06,我也想被大家爬爬看(*/ω＼*)
angershelia,2021.6.22 08:06,我觉得回复在2楼可能被爬取到，一会我看看
human_dying,2021.6.26 16:06,爬，爬，爬，我爬
qiuweihg,2021.7.6 17:07,aiyo
crawler_ghost,2021.7.13 20:07,哇塞！开发团真的好用心！努力学习努力学习！
dz,2021.7.29 09:07,网络爬虫
Alvar33,2021.7.29 16:07,なるほど
12433,2021.8.2 12:08,啊这，工作量剧增啊喂！
celia911,2021.8.18 15:08,第一次评论不是为了评论，大家懂的
kui211,2021.8.24 15:08,大家爬虫加油呀
kui211,2021.8.25 09:08,好像默默被淹没了
djia1103,2021.9.22 20:09,笑死  我也爬
hide-on-bush,2021.9.24 11:09,666
admin00005,2021.10.16 16:10,爬我爬我！
yangjundiai,2021.11.9 14:11,有幸学习爬虫课程，我是一个淘宝店主，我的店铺地址是：https://75597.taobao.com/search.htm?spm=a1z10.1-c.0.0.438a23e4hInkBa&search=y，希望看到的同学们有机会来多多支持！
evaChu,2021.11.19 09:11,赞 始终保持自己的独立思维 才是一个独立的个体啊
猜猜猜,2020.9.17 11:09,我们总是生活在群体之中，本书提醒我们跳出群体之外，冷静的观察我们所处的群体，冷静的分析群体中的领袖，若“领袖”的动员手段，只是“断言、重复、传染”，那我们可能就要逃离这样的群体，这样的群体可能就会有野蛮的特性。读完这本《乌合之众》，我更清晰的理解潮流、谣言及恐慌。
shoes86,2021.7.7 10:07,这层还没人，谁来爬我~~~
jackiejenny,2021.7.21 15:07,留个脚印，等待被爬
dz,2021.7.29 09:07,爬虫
soap-ok,2021.8.9 20:08,爬我
kaosi1,2021.8.21 19:08,都是来爬虫的吧
7825679yazy,2021.8.24 17:08,必须成为大部队中的一员，大家加油~
mary19372,2021.9.27 22:09,留个脚印，来爬我呀~
wangyr,2021.10.19 21:10,哈哈，都是爬虫的同学，
jemyc,2021.11.5 16:11,真的到此一游
橘世,2021.11.13 15:11,野蛮生长
xnckkr,2020.9.17 11:09,实在是一本发人深省的好书！它正如一面双刃剑，《乌合之众》能让人警醒，也能让野心家找到掌控群众的方法。它提到“只要掌握了影响群众想象力的艺术，也就掌握了统治他们的艺术。”书中谈到如何让群众接受自己观念，”改造，改造的方向必须是低俗化和简单化。”
wwyyyy,2021.7.23 17:07,2w4y (给爷【爬】)
qaz159189,2021.7.23 22:07,加我一个
xnxoekel,2020.9.17 11:09,读完此书，有些作者的观点我不是很赞同。不同的群体会有不同的特性，把群体统称为乌合之众，显得简单粗暴。书中列举的各种例子，只选取符合书中描写群体特性的历史事件，更多不符合特性的历史事件就未被提及。尽管书中的观点显得偏颇，但依然是值得认真读的一本书，其中很多观点更是为我们敲响警钟。
fromfengbian,2021.8.2 11:08,mark，等会来爬
yjzxj,2021.9.6 16:09,挺有趣
l13772457288,2021.9.18 23:09,等爬~~~
车车,2020.9.17 11:09,本书语言简单通俗直接，一路读下来的感受，可以用惊心动魄来形容，看着书上总结的群体特性，联想着现代中国发生的红卫兵破“四旧”、以及文革中的种种恶行，还有近期新闻中的各种群体事件：例如砸“日系”车辆、各种传销组织等。对于勒庞的总结，我内心是频频点头。几乎认同群体就是野蛮的原始人。
Emilyoutofctrl,2021.8.4 17:08,码上爬XD
zkluckj,2021.8.23 21:08,爬到自己有惊喜！
limei,2021.9.22 22:09,细思极恐，读过此书，深以为然。。。
cncikrlr,2020.9.17 10:09,《乌合之众》是法国社会学家古斯塔夫.勒庞，于1895年首次出版的一部研究群众心理的著作。开篇就是一个定义：许多人凑在一起，就叫群体。群体是个活的生物，有自己的感情，有自己的思想，即群体心理。接下来会有什么样精彩的内容呢？一起看看吧
blkent,2021.8.5 16:08,爬粑粑
captainayi,2021.8.28 13:08,爬前留名。。。
吹健康,2020.9.17 10:09,“群体是无名的因此也无需承担责任，然后一直控制着个体的那种责任感便消失了”，面对这样的情况我们能做些什么呢？无非是在看似主流的群体浪潮里，保持独立思考和辨别是非的能力，不做“乌合之众”中的一员。看看这本书吧！它不会让你失望的
phyllis,2021.8.17 20:08,phyllis到此一游！嘻嘻！爬起~
xiaohy,2021.9.17 09:09,哈哈，爬前留名，看看能不能爬到自己，✌
SAJ2513,2021.9.23 10:09,给我使劲吹：呼呼呼
byun_hubic,2021.10.7 17:10,嘻嘻，markmark
xncokrkr,2020.9.17 10:09,本书作者勒庞在书中有许多令人深思的句子：当一个人成为了群体中的一员，他的意识人格就消失了，智力、判断力水平都在飞速降低，只有情绪在不断放大，表现为冲动、多变、易怒、轻信、野蛮及破坏性的特质，换句话说，也就是回归了我们动物性的本能，所有来自道德的限制在群体组织中将不复存在。实在是妙！
kkcheung,2021.8.17 20:08,是真人，还是程序？
jinshanshan,2021.8.31 22:08,二营长，把老子的意大利炮爬出来
binbin,2021.10.16 00:10,俺也到此一游
xnckem,2020.9.17 10:09,百忙之中抽空看完了《乌合之众》这本书，我不禁震撼于勒庞洞悉群众心理的细致程度以及超前性，要知道，本书的创作背景是法国的文化大革命，但书中的诸多理论，放到当下社会也绝不过时，甚至可以轻易解释一些时常发生的“荒唐”事件.发人深省
13923367122,2021.7.6 22:07,1234
wwyyyy,2021.7.23 17:07,2w4y 给爷【爬】
mzzm414,2021.8.11 20:08,有的网站，看着是读书网，实际上却是母巢~
Cannon0515,2021.8.26 16:08,点赞
lingfeng,2021.9.17 17:09,lingfeng
zhujiaodidi,2021.9.20 14:09,ccccccccccccccccccccc
Stanley,2021.10.9 12:10,爬虫只新虫路过
123456QAQ,2021.10.13 22:10,来补课了！
binbin,2021.10.15 22:10,懒爬爬虫报到！
sdqzliuxl,2021.10.26 21:10,我是第197条评论，你爬到我了么？
我是一只爬爬虫,2021.10.31 20:10,这里评论才能爬到吗？
llzzyy,2021.11.8 00:11,在此留下脚印，让大家爬
hgfds,2021.11.14 00:11,liu
cyq0175,2021.11.14 16:11,当当当当水军来了
