书名,作者,出版社,ISBN,页数,出版年,定价
墨菲定律(经典收藏版),张文成,古吴轩出版社,9787554609491,261,2017/6/1,32.8
十一种孤独,[法]古斯塔夫·勒庞,世界图书出版公司北京公司,9787532756766,270,2012-2-1,27.00元
吸引力法则,杰克·坎菲尔德D·D·沃特金,中国城市出版社,9787507420890,226,2009年6月,25.00元
愿你拥有被爱照亮的生命,[英]苏·汤普金斯,广西师范大学出版社,9787550261624,264,2015-12-1,38
亲子沟通密码,Liliane（邹璐）,人民邮电出版社,9787115516435,,2019/7/1,49.00元
儿童教育心理学,阿德勒,汇智博达|天津人民出版社,9787201139302,276,2018/9/20,48
不抱怨的世界,[美]威尔·鲍温,陕西师范大学出版社,9787561345948,223,2009/4/1,24.8
心理学导论,库恩(DennisCoon)/JohnO.Mitterer,中国轻工业出版社,9787501993468,768,2014/1/1,98.00元
乌合之众,[瑞士]皮亚杰,上海译文出版社,9787550261624,264,2015-12-1,38
不管教的勇气,[日]岸见一郎,千寻·晨光出版社,9787541498411,216,2018/11/1,42
过犹不及,[美]亨利·克劳德(HenryCloud)[美]约翰·汤森德(JohnTownsend),海天出版社,9787550700314,321,2011/2/1,39.00元
顺逆皆宜的人生,[美]查尔斯·哈奈尔,北京联合出版公司,9787504367846,364,2013-1-1,65.00元
九型人格,[美]海伦·帕尔默,华夏出版社,9787508040738,346,2006/10/1,38.00元
直觉泵和其他思考工具,丹尼尔•丹尼特(DanielC.Dennett),浙江教育出版社,9787553674599,490,2018/11/1,CNY129.90
发生认识论原理,[美]理查德·耶茨,新世界出版社,9787100008464,113,1981-9-1,5.60元
津巴多普通心理学（原书第7版）,PhilipG.Zimbardo/RobertL.Johnson/VivianHamilton,中国人民大学出版社,9787300229645,704,2016/6/30,119.00元
心理学导论（原书第9版）,[美]韦恩·韦登,机械工业出版社,9787111554158,616,2016/12/1,125
世界上最神奇的24堂课(原版经典全译本),武志红,中国广播电视出版社,9787802282704,245,2007年,33.00元
行为设计学(打造峰值体验)(精),〔美〕奇普·希思/〔美〕丹·希思,中信出版社,9787508690247,,2018/8/1,68
羊皮卷,[美]奥格·曼狄诺,世界知识出版社,9787501221462,489,2004/5/1,38.00元
当我遇见一个人,[法]古斯塔夫·勒庞,商务印书馆,9787519210922,252,2016-7-1,49
内向者优势,MartiOlsenLaney,华东师范大学出版社,9787561757819,247,2008/1/1,29.80元
群氓之族,[英]苏·汤普金斯,新世界出版社,9787563374816,286,2008-5-1,28.00元
